scenario,sample_size,power
Cov-large,40,1.0
Cov-large,50,1.0
Cov-large,60,1.0
Cov-large,70,1.0
Cov-large,80,1.0
Cov-large,90,1.0
Cov-large,100,1.0
Cov-large,110,1.0
Cov-large,120,1.0
Cov-large,130,1.0
Cov-large,140,1.0
Cov-large,150,1.0
Cov-large,160,1.0
Cov-large,170,1.0
Cov-large,180,1.0
Cov-large,190,1.0
Cov-large,200,1.0
Cov-large,210,1.0
Cov-large,220,1.0
Cov-large,230,1.0
Cov-large,240,1.0
Cov-large,250,1.0
Cov-large,260,1.0
Cov-large,270,1.0
Cov-large,280,1.0
Cov-large,290,1.0
Cov-large,300,1.0
Cov-large,310,1.0
Cov-large,320,1.0
Cov-large,330,1.0
Cov-large,340,1.0
Cov-large,350,1.0
Cov-large,360,1.0
Cov-large,370,1.0
Cov-large,380,1.0
Cov-large,390,1.0
Cov-large,400,1.0
Cov-large,410,1.0
Cov-large,420,1.0
Cov-large,430,1.0
Cov-large,440,1.0
Cov-large,450,1.0
Cov-large,460,1.0
Cov-large,470,1.0
Cov-large,480,1.0
Cov-large,490,1.0
Mix-small,10,0.12
Mix-small,20,0.24
Mix-small,30,0.3
Mix-small,40,0.48
Mix-small,50,0.53
Mix-small,60,0.62
Mix-small,70,0.67
Mix-small,80,0.76
Mix-small,90,0.83
Mix-small,100,0.75
Mix-small,110,0.89
Mix-small,120,0.91
Mix-small,130,0.88
Mix-small,140,0.92
Mix-small,150,0.98
Mix-small,160,0.97
Mix-small,170,0.96
Mix-small,180,0.99
Mix-small,190,0.98
Mix-small,200,0.99
Mix-small,210,1.0
Mix-small,220,1.0
Mix-small,230,1.0
Mix-small,240,1.0
Mix-small,250,1.0
Mix-small,260,0.99
Mix-small,270,1.0
Mix-small,280,1.0
Mix-small,290,1.0
Mix-small,300,1.0
Mix-small,310,1.0
Mix-small,320,1.0
Mix-small,330,1.0
Mix-small,340,1.0
Mix-small,350,1.0
Mix-small,360,1.0
Mix-small,370,1.0
Mix-small,380,1.0
Mix-small,390,1.0
Mix-small,400,1.0
Mix-small,410,1.0
Mix-small,420,1.0
Mix-small,430,1.0
Mix-small,440,1.0
Mix-small,450,1.0
Mix-small,460,1.0
Mix-small,470,1.0
Mix-small,480,1.0
Mix-small,490,1.0
Mix-large,10,0.9
Mix-large,20,1.0
Mix-large,30,1.0
Mix-large,40,1.0
Mix-large,50,1.0
Mix-large,60,1.0
Mix-large,70,1.0
Mix-large,80,1.0
Mix-large,90,1.0
Mix-large,100,1.0
Mix-large,110,1.0
Mix-large,120,1.0
Mix-large,130,1.0
Mix-large,140,1.0
Mix-large,150,1.0
Mix-large,160,1.0
Mix-large,170,1.0
Mix-large,180,1.0
Mix-large,190,1.0
Mix-large,200,1.0
Mix-large,210,1.0
Mix-large,220,1.0
Mix-large,230,1.0
Mix-large,240,1.0
Mix-large,250,1.0
Mix-large,260,1.0
Mix-large,270,1.0
Mix-large,280,1.0
Mix-large,290,1.0
Mix-large,300,1.0
Mix-large,310,1.0
Mix-large,320,1.0
Mix-large,330,1.0
Mix-large,340,1.0
Mix-large,350,1.0
Mix-large,360,1.0
Mix-large,370,1.0
Mix-large,380,1.0
Mix-large,390,1.0
Mix-large,400,1.0
Mix-large,410,1.0
Mix-large,420,1.0
Mix-large,430,1.0
Mix-large,440,1.0
Mix-large,450,1.0
Mix-large,460,1.0
Mix-large,470,1.0
Mix-large,480,1.0
Mix-large,490,1.0
